Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
February 2003 Second Open Bidding Exercise,15/02/2003,2003,Cat C (Goods vehicles and buses),570,11201,786,570
February 2003 Second Open Bidding Exercise,15/02/2003,2003,Cat D (Motorcycles),1051,1,834,834
February 2003 Second Open Bidding Exercise,15/02/2003,2003,Cat E (Open),1090,30100,1517,1084
March 2003 First Open Bidding Exercise,1/3/2003,2003,Cat A (Cars up to 1600cc and 97kW),1332,28308,1990,1329
March 2003 First Open Bidding Exercise,1/3/2003,2003,Cat B (Cars above 1600cc or 97kW),670,27999,965,663
March 2003 First Open Bidding Exercise,1/3/2003,2003,Cat C (Goods vehicles and buses),575,11208,742,574
March 2003 First Open Bidding Exercise,1/3/2003,2003,Cat D (Motorcycles),1301,1,904,904
March 2003 First Open Bidding Exercise,1/3/2003,2003,Cat E (Open),1090,27000,1523,1031
March 2003 Second Open Bidding Exercise,15/03/2003,2003,Cat A (Cars up to 1600cc and 97kW),1337,26999,1923,1333
March 2003 Second Open Bidding Exercise,15/03/2003,2003,Cat B (Cars above 1600cc or 97kW),666,26001,944,640
March 2003 Second Open Bidding Exercise,15/03/2003,2003,Cat C (Goods vehicles and buses),570,10509,662,566
March 2003 Second Open Bidding Exercise,15/03/2003,2003,Cat D (Motorcycles),1048,1,644,644
March 2003 Second Open Bidding Exercise,15/03/2003,2003,Cat E (Open),1096,25501,1676,1085
April 2003 First Open Bidding Exercise,1/4/2003,2003,Cat A (Cars up to 1600cc and 97kW),1473,27497,2816,1464
April 2003 First Open Bidding Exercise,1/4/2003,2003,Cat B (Cars above 1600cc or 97kW),919,26601,1790,917
April 2003 First Open Bidding Exercise,1/4/2003,2003,Cat C (Goods vehicles and buses),603,11122,719,603
April 2003 First Open Bidding Exercise,1/4/2003,2003,Cat D (Motorcycles),954,136,1521,950
April 2003 First Open Bidding Exercise,1/4/2003,2003,Cat E (Open),946,27501,1535,942
April 2003 Second Open Bidding Exercise,15/04/2003,2003,Cat A (Cars up to 1600cc and 97kW),1474,28054,2728,1473
April 2003 Second Open Bidding Exercise,15/04/2003,2003,Cat B (Cars above 1600cc or 97kW),938,27058,1762,935
April 2003 Second Open Bidding Exercise,15/04/2003,2003,Cat C (Goods vehicles and buses),605,11113,684,591
April 2003 Second Open Bidding Exercise,15/04/2003,2003,Cat D (Motorcycles),960,202,1411,943
April 2003 Second Open Bidding Exercise,15/04/2003,2003,Cat E (Open),898,28109,1471,897
May 2003 First Open Bidding Exercise,1/5/2003,2003,Cat A (Cars up to 1600cc and 97kW),1479,29299,3284,1479
May 2003 First Open Bidding Exercise,1/5/2003,2003,Cat B (Cars above 1600cc or 97kW),914,28589,1788,913
May 2003 First Open Bidding Exercise,1/5/2003,2003,Cat C (Goods vehicles and buses),602,10889,781,595
May 2003 First Open Bidding Exercise,1/5/2003,2003,Cat D (Motorcycles),561,233,671,530
May 2003 First Open Bidding Exercise,1/5/2003,2003,Cat E (Open),891,29538,1320,891
May 2003 Second Open Bidding Exercise,15/05/2003,2003,Cat A (Cars up to 1600cc and 97kW),1471,31095,2621,1463
May 2003 Second Open Bidding Exercise,15/05/2003,2003,Cat B (Cars above 1600cc or 97kW),915,31400,1592,913
May 2003 Second Open Bidding Exercise,15/05/2003,2003,Cat C (Goods vehicles and buses),615,10710,721,615
May 2003 Second Open Bidding Exercise,15/05/2003,2003,Cat D (Motorcycles),573,351,791,553
May 2003 Second Open Bidding Exercise,15/05/2003,2003,Cat E (Open),888,31800,1478,885
June 2003 First Open Bidding Exercise,1/6/2003,2003,Cat A (Cars up to 1600cc and 97kW),1470,31799,2388,1469
June 2003 First Open Bidding Exercise,1/6/2003,2003,Cat B (Cars above 1600cc or 97kW),913,31501,1448,908
June 2003 First Open Bidding Exercise,1/6/2003,2003,Cat C (Goods vehicles and buses),609,10899,734,608
June 2003 First Open Bidding Exercise,1/6/2003,2003,Cat D (Motorcycles),588,452,932,494
June 2003 First Open Bidding Exercise,1/6/2003,2003,Cat E (Open),887,32597,1417,876
June 2003 Second Open Bidding Exercise,15/06/2003,2003,Cat A (Cars up to 1600cc and 97kW),1478,31440,2267,1471
June 2003 Second Open Bidding Exercise,15/06/2003,2003,Cat B (Cars above 1600cc or 97kW),914,31505,1281,908
June 2003 Second Open Bidding Exercise,15/06/2003,2003,Cat C (Goods vehicles and buses),601,11301,724,584
June 2003 Second Open Bidding Exercise,15/06/2003,2003,Cat D (Motorcycles),576,502,773,564
June 2003 Second Open Bidding Exercise,15/06/2003,2003,Cat E (Open),890,32000,1328,879
July 2003 First Open Bidding Exercise,1/7/2003,2003,Cat A (Cars up to 1600cc and 97kW),1471,32079,2341,1462
July 2003 First Open Bidding Exercise,1/7/2003,2003,Cat B (Cars above 1600cc or 97kW),917,32779,1359,917
July 2003 First Open Bidding Exercise,1/7/2003,2003,Cat C (Goods vehicles and buses),602,11995,761,598
July 2003 First Open Bidding Exercise,1/7/2003,2003,Cat D (Motorcycles),651,503,858,612
July 2003 First Open Bidding Exercise,1/7/2003,2003,Cat E (Open),898,32799,1379,893
July 2003 Second Open Bidding Exercise,15/07/2003,2003,Cat A (Cars up to 1600cc and 97kW),1477,31501,1881,1470
July 2003 Second Open Bidding Exercise,15/07/2003,2003,Cat B (Cars above 1600cc or 97kW),918,31889,1209,885
July 2003 Second Open Bidding Exercise,15/07/2003,2003,Cat C (Goods vehicles and buses),618,12089,782,614
July 2003 Second Open Bidding Exercise,15/07/2003,2003,Cat D (Motorcycles),568,404,764,565
July 2003 Second Open Bidding Exercise,15/07/2003,2003,Cat E (Open),898,32593,1337,891
August 2003 First Open Bidding Exercise,1/8/2003,2003,Cat A (Cars up to 1600cc and 97kW),1479,30497,1828,1470
August 2003 First Open Bidding Exercise,1/8/2003,2003,Cat B (Cars above 1600cc or 97kW),912,31001,1159,905
August 2003 First Open Bidding Exercise,1/8/2003,2003,Cat C (Goods vehicles and buses),605,12000,719,601
August 2003 First Open Bidding Exercise,1/8/2003,2003,Cat D (Motorcycles),596,405,815,486
August 2003 First Open Bidding Exercise,1/8/2003,2003,Cat E (Open),892,31889,1401,888
August 2003 Second Open Bidding Exercise,15/08/2003,2003,Cat A (Cars up to 1600cc and 97kW),1477,30989,1773,1474
August 2003 Second Open Bidding Exercise,15/08/2003,2003,Cat B (Cars above 1600cc or 97kW),945,29900,1171,942
August 2003 Second Open Bidding Exercise,15/08/2003,2003,Cat C (Goods vehicles and buses),605,10999,736,599
August 2003 Second Open Bidding Exercise,15/08/2003,2003,Cat D (Motorcycles),559,369,674,552
August 2003 Second Open Bidding Exercise,15/08/2003,2003,Cat E (Open),894,30099,1312,892
September 2003 First Open Bidding Exercise,1/9/2003,2003,Cat A (Cars up to 1600cc and 97kW),1479,25011,1611,1476
September 2003 First Open Bidding Exercise,1/9/2003,2003,Cat B (Cars above 1600cc or 97kW),919,28001,1163,901
September 2003 First Open Bidding Exercise,1/9/2003,2003,Cat C (Goods vehicles and buses),605,9981,771,605
September 2003 First Open Bidding Exercise,1/9/2003,2003,Cat D (Motorcycles),667,302,899,554
September 2003 First Open Bidding Exercise,1/9/2003,2003,Cat E (Open),891,29000,1358,877
September 2003 Second Open Bidding Exercise,15/09/2003,2003,Cat A (Cars up to 1600cc and 97kW),1473,30629,2798,1459
September 2003 Second Open Bidding Exercise,15/09/2003,2003,Cat B (Cars above 1600cc or 97kW),915,30048,1344,908
September 2003 Second Open Bidding Exercise,15/09/2003,2003,Cat C (Goods vehicles and buses),607,10023,823,602
September 2003 Second Open Bidding Exercise,15/09/2003,2003,Cat D (Motorcycles),563,303,778,466
September 2003 Second Open Bidding Exercise,15/09/2003,2003,Cat E (Open),889,30589,1345,887
October 2003 First Open Bidding Exercise,1/10/2003,2003,Cat A (Cars up to 1600cc and 97kW),1914,28915,3039,1904
October 2003 First Open Bidding Exercise,1/10/2003,2003,Cat B (Cars above 1600cc or 97kW),1175,28199,1565,1172
October 2003 First Open Bidding Exercise,1/10/2003,2003,Cat C (Goods vehicles and buses),688,9889,834,688
October 2003 First Open Bidding Exercise,1/10/2003,2003,Cat D (Motorcycles),670,270,854,668
October 2003 First Open Bidding Exercise,1/10/2003,2003,Cat E (Open),1167,28997,1594,1148
October 2003 Second Open Bidding Exercise,15/10/2003,2003,Cat A (Cars up to 1600cc and 97kW),1925,28300,2558,1925
October 2003 Second Open Bidding Exercise,15/10/2003,2003,Cat B (Cars above 1600cc or 97kW),1163,27989,1374,1162
October 2003 Second Open Bidding Exercise,15/10/2003,2003,Cat C (Goods vehicles and buses),693,9090,879,690
October 2003 Second Open Bidding Exercise,15/10/2003,2003,Cat D (Motorcycles),653,280,1083,647
October 2003 Second Open Bidding Exercise,15/10/2003,2003,Cat E (Open),1154,27900,1551,1151
November 2003 First Open Bidding Exercise,1/11/2003,2003,Cat A (Cars up to 1600cc and 97kW),1921,26338,2106,1921
November 2003 First Open Bidding Exercise,1/11/2003,2003,Cat B (Cars above 1600cc or 97kW),1160,26001,1368,1136
November 2003 First Open Bidding Exercise,1/11/2003,2003,Cat C (Goods vehicles and buses),688,8489,871,685
November 2003 First Open Bidding Exercise,1/11/2003,2003,Cat D (Motorcycles),559,202,663,486
November 2003 First Open Bidding Exercise,1/11/2003,2003,Cat E (Open),1172,26700,1690,1161
November 2003 Second Open Bidding Exercise,15/11/2003,2003,Cat A (Cars up to 1600cc and 97kW),1911,26725,2315,1911
November 2003 Second Open Bidding Exercise,15/11/2003,2003,Cat B (Cars above 1600cc or 97kW),1157,25481,1344,1157
November 2003 Second Open Bidding Exercise,15/11/2003,2003,Cat C (Goods vehicles and buses),691,7789,839,686
November 2003 Second Open Bidding Exercise,15/11/2003,2003,Cat D (Motorcycles),562,221,753,555
November 2003 Second Open Bidding Exercise,15/11/2003,2003,Cat E (Open),1155,26999,1495,951
December 2003 First Open Bidding Exercise,1/12/2003,2003,Cat A (Cars up to 1600cc and 97kW),1911,24401,2020,1903
December 2003 First Open Bidding Exercise,1/12/2003,2003,Cat B (Cars above 1600cc or 97kW),1181,24112,1401,1180
December 2003 First Open Bidding Exercise,1/12/2003,2003,Cat C (Goods vehicles and buses),691,6941,854,691
December 2003 First Open Bidding Exercise,1/12/2003,2003,Cat D (Motorcycles),630,200,770,625
December 2003 First Open Bidding Exercise,1/12/2003,2003,Cat E (Open),1164,25299,1508,1155
December 2003 Second Open Bidding Exercise,15/12/2003,2003,Cat A (Cars up to 1600cc and 97kW),1911,24251,2376,1910
December 2003 Second Open Bidding Exercise,15/12/2003,2003,Cat B (Cars above 1600cc or 97kW),1156,22295,1295,1152
December 2003 Second Open Bidding Exercise,15/12/2003,2003,Cat C (Goods vehicles and buses),693,6508,820,664
December 2003 Second Open Bidding Exercise,15/12/2003,2003,Cat D (Motorcycles),563,221,920,419
December 2003 Second Open Bidding Exercise,15/12/2003,2003,Cat E (Open),1356,24502,1789,1356
April 2002 First Open Bidding Exercise,1/4/2002,2002,Cat A (Cars up to 1600cc and 97kW),1110,37201,2484,1092
April 2002 First Open Bidding Exercise,1/4/2002,2002,Cat B (Cars above 1600cc or 97kW),558,39509,1119,551
April 2002 First Open Bidding Exercise,1/4/2002,2002,Cat C (Goods vehicles and buses),506,23001,795,506
April 2002 First Open Bidding Exercise,1/4/2002,2002,Cat D (Motorcycles),839,540,1319,835
April 2002 First Open Bidding Exercise,1/4/2002,2002,Cat E (Open),682,41001,1797,631
April 2002 Second Open Bidding Exercise,15/04/2002,2002,Cat A (Cars up to 1600cc and 97kW),1149,36000,1890,1148
April 2002 Second Open Bidding Exercise,15/04/2002,2002,Cat B (Cars above 1600cc or 97kW),553,42101,1104,553
April 2002 Second Open Bidding Exercise,15/04/2002,2002,Cat C (Goods vehicles and buses),506,24001,813,490
April 2002 Second Open Bidding Exercise,15/04/2002,2002,Cat D (Motorcycles),838,409,1084,837
April 2002 Second Open Bidding Exercise,15/04/2002,2002,Cat E (Open),754,42043,1407,753
May 2002 First Open Bidding Exercise,1/5/2002,2002,Cat A (Cars up to 1600cc and 97kW),1128,35000,1705,1127
May 2002 First Open Bidding Exercise,1/5/2002,2002,Cat B (Cars above 1600cc or 97kW),560,40001,1043,518
May 2002 First Open Bidding Exercise,1/5/2002,2002,Cat C (Goods vehicles and buses),506,24801,900,472
May 2002 First Open Bidding Exercise,1/5/2002,2002,Cat D (Motorcycles),836,402,976,793
May 2002 First Open Bidding Exercise,1/5/2002,2002,Cat E (Open),960,40001,1880,930
May 2002 Second Open Bidding Exercise,15/05/2002,2002,Cat A (Cars up to 1600cc and 97kW),1111,33401,1320,1080
May 2002 Second Open Bidding Exercise,15/05/2002,2002,Cat B (Cars above 1600cc or 97kW),552,38001,894,541
May 2002 Second Open Bidding Exercise,15/05/2002,2002,Cat C (Goods vehicles and buses),522,24002,815,508
May 2002 Second Open Bidding Exercise,15/05/2002,2002,Cat D (Motorcycles),833,283,1044,831
May 2002 Second Open Bidding Exercise,15/05/2002,2002,Cat E (Open),910,38399,1835,877
June 2002 First Open Bidding Exercise,1/6/2002,2002,Cat A (Cars up to 1600cc and 97kW),1111,33009,1382,1105
June 2002 First Open Bidding Exercise,1/6/2002,2002,Cat B (Cars above 1600cc or 97kW),595,33001,885,569
June 2002 First Open Bidding Exercise,1/6/2002,2002,Cat C (Goods vehicles and buses),540,22804,800,540
June 2002 First Open Bidding Exercise,1/6/2002,2002,Cat D (Motorcycles),875,109,1010,866
June 2002 First Open Bidding Exercise,1/6/2002,2002,Cat E (Open),939,34397,1777,938
June 2002 Second Open Bidding Exercise,15/06/2002,2002,Cat A (Cars up to 1600cc and 97kW),1141,30281,1382,1133
June 2002 Second Open Bidding Exercise,15/06/2002,2002,Cat B (Cars above 1600cc or 97kW),563,32499,888,554
June 2002 Second Open Bidding Exercise,15/06/2002,2002,Cat C (Goods vehicles and buses),519,20434,727,519
June 2002 Second Open Bidding Exercise,15/06/2002,2002,Cat D (Motorcycles),834,96,995,833
June 2002 Second Open Bidding Exercise,15/06/2002,2002,Cat E (Open),942,32511,1825,940
July 2002 First Open Bidding Exercise,1/7/2002,2002,Cat A (Cars up to 1600cc and 97kW),1116,31407,1890,1108
July 2002 First Open Bidding Exercise,1/7/2002,2002,Cat B (Cars above 1600cc or 97kW),579,31583,946,577
July 2002 First Open Bidding Exercise,1/7/2002,2002,Cat C (Goods vehicles and buses),506,17501,749,504
July 2002 First Open Bidding Exercise,1/7/2002,2002,Cat D (Motorcycles),841,57,1035,835
July 2002 First Open Bidding Exercise,1/7/2002,2002,Cat E (Open),910,32356,1549,903
July 2002 Second Open Bidding Exercise,15/07/2002,2002,Cat A (Cars up to 1600cc and 97kW),1118,30797,1647,1118
July 2002 Second Open Bidding Exercise,15/07/2002,2002,Cat B (Cars above 1600cc or 97kW),561,30008,850,553
July 2002 Second Open Bidding Exercise,15/07/2002,2002,Cat C (Goods vehicles and buses),505,16889,682,501
July 2002 Second Open Bidding Exercise,15/07/2002,2002,Cat D (Motorcycles),833,101,1059,822
July 2002 Second Open Bidding Exercise,15/07/2002,2002,Cat E (Open),910,30501,1242,904
August 2002 First Open Bidding Exercise,1/8/2002,2002,Cat A (Cars up to 1600cc and 97kW),1118,30289,1640,1115
August 2002 First Open Bidding Exercise,1/8/2002,2002,Cat B (Cars above 1600cc or 97kW),555,31889,1149,555
August 2002 First Open Bidding Exercise,1/8/2002,2002,Cat C (Goods vehicles and buses),508,16501,719,504
August 2002 First Open Bidding Exercise,1/8/2002,2002,Cat D (Motorcycles),838,116,920,836
August 2002 First Open Bidding Exercise,1/8/2002,2002,Cat E (Open),916,31899,1370,899
August 2002 Second Open Bidding Exercise,15/08/2002,2002,Cat A (Cars up to 1600cc and 97kW),1110,31289,1480,1100
August 2002 Second Open Bidding Exercise,15/08/2002,2002,Cat B (Cars above 1600cc or 97kW),560,32001,873,543
August 2002 Second Open Bidding Exercise,15/08/2002,2002,Cat C (Goods vehicles and buses),509,16409,702,509
August 2002 Second Open Bidding Exercise,15/08/2002,2002,Cat D (Motorcycles),843,81,918,837
August 2002 Second Open Bidding Exercise,15/08/2002,2002,Cat E (Open),914,32001,1386,886
September 2002 First Open Bidding Exercise,1/9/2002,2002,Cat A (Cars up to 1600cc and 97kW),1113,30501,1337,1108
September 2002 First Open Bidding Exercise,1/9/2002,2002,Cat B (Cars above 1600cc or 97kW),553,31617,715,553
September 2002 First Open Bidding Exercise,1/9/2002,2002,Cat C (Goods vehicles and buses),510,16403,671,508
September 2002 First Open Bidding Exercise,1/9/2002,2002,Cat D (Motorcycles),834,52,996,827
September 2002 First Open Bidding Exercise,1/9/2002,2002,Cat E (Open),926,31493,1321,918
September 2002 Second Open Bidding Exercise,15/09/2002,2002,Cat A (Cars up to 1600cc and 97kW),1120,28409,1286,1118
September 2002 Second Open Bidding Exercise,15/09/2002,2002,Cat B (Cars above 1600cc or 97kW),569,28009,756,569
September 2002 Second Open Bidding Exercise,15/09/2002,2002,Cat C (Goods vehicles and buses),505,16409,615,487
September 2002 Second Open Bidding Exercise,15/09/2002,2002,Cat D (Motorcycles),838,21,872,838
September 2002 Second Open Bidding Exercise,15/09/2002,2002,Cat E (Open),936,29499,1438,934
October 2002 First Open Bidding Exercise,1/10/2002,2002,Cat A (Cars up to 1600cc and 97kW),1115,31334,1889,1101
October 2002 First Open Bidding Exercise,1/10/2002,2002,Cat B (Cars above 1600cc or 97kW),553,31795,917,553
October 2002 First Open Bidding Exercise,1/10/2002,2002,Cat C (Goods vehicles and buses),508,17581,682,508
October 2002 First Open Bidding Exercise,1/10/2002,2002,Cat D (Motorcycles),839,36,1061,731
October 2002 First Open Bidding Exercise,1/10/2002,2002,Cat E (Open),917,30989,1501,911
October 2002 Second Open Bidding Exercise,15/10/2002,2002,Cat A (Cars up to 1600cc and 97kW),1112,30758,1624,1110
October 2002 Second Open Bidding Exercise,15/10/2002,2002,Cat B (Cars above 1600cc or 97kW),552,30811,850,551
October 2002 Second Open Bidding Exercise,15/10/2002,2002,Cat C (Goods vehicles and buses),523,16819,651,517
October 2002 Second Open Bidding Exercise,15/10/2002,2002,Cat D (Motorcycles),832,22,907,829
October 2002 Second Open Bidding Exercise,15/10/2002,2002,Cat E (Open),910,30801,1377,905
November 2002 First Open Bidding Exercise,1/11/2002,2002,Cat A (Cars up to 1600cc and 97kW),1346,29113,1724,1346
November 2002 First Open Bidding Exercise,1/11/2002,2002,Cat B (Cars above 1600cc or 97kW),663,27667,866,663
November 2002 First Open Bidding Exercise,1/11/2002,2002,Cat C (Goods vehicles and buses),571,14995,709,570
November 2002 First Open Bidding Exercise,1/11/2002,2002,Cat D (Motorcycles),940,10,1004,938
November 2002 First Open Bidding Exercise,1/11/2002,2002,Cat E (Open),1097,27999,1663,1083
